id,country,continent,group,height (cm)
18254,Bangladesh,Asia,B,166
13739,Uganda,Africa,A,159
11344,Lebanon,Asia,B,177
17283,Kazakhstan,Asia,A,163
14874,Yemen,Asia,B,165
14323,Lesotho,Africa,A,155
16191,Luxembourg,Europe,A,165
377,Algeria,Africa,A,161
9490,Libya,Africa,B,177
1309,Lithuania,Europe,A,169
8234,Bulgaria,Europe,B,183
10006,Tonga,Oceania,B,175
12874,Nauru,Oceania,B,168
4287,Luxembourg,Europe,A,164
11894,Venezuela,South America,B,171
2527,Slovakia,Europe,A,168
16099,El Salvador,North America,A,155
16320,Tajikistan,Asia,B,166
3240,Puerto Rico,North America,B,189
16319,Taiwan,Asia,A,161
16467,Ecuador,South America,A,155
13463,China,Asia,A,163
9431,Greenland,North America,A,162
7106,Bermuda,North America,B,190
4493,Barbados,North America,A,164
13261,North Korea,Asia,A,156
13740,Ukraine,Europe,B,183
2690,Cyprus,Europe,B,170
6325,Afghanistan,Asia,A,155
7390,Taiwan,Asia,B,174
5984,Belgium,Europe,B,178
8610,Burundi,Africa,B,176
9807,Guatemala,North America,A,149
7902,Denmark,Europe,B,182
11535,Albania,Europe,A,163
4684,Morocco,Africa,B,178
2201,Turkey,Asia,A,162
6041,Czech Republic,Europe,A,167
15272,Austria,Europe,B,178
250,Panama,North America,B,171
14329,Lithuania,Europe,A,167
6291,Tunisia,Africa,A,162
9226,Solomon Islands,Oceania,B,165
15814,Libya,Africa,B,173
17782,Solomon Islands,Oceania,B,160
4677,Mauritius,Africa,A,159
15373,Gabon,Africa,A,161
1942,Croatia,Europe,B,179
17811,Tanzania,Africa,A,157
12227,Taiwan,Asia,A,160
15136,Peru,South America,B,167
1951,Denmark,Europe,A,169
644,Rwanda,Africa,B,164
14490,United States,North America,B,177
5014,Kyrgyzstan,Asia,B,174
182,Latvia,Europe,B,182
3092,France,Europe,B,178
9664,Vietnam,Asia,B,169
12583,Spain,Europe,A,162
3777,Cabo Verde,Africa,A,163
964,Morocco,Africa,B,176
12709,Cameroon,Africa,A,160
7221,Indonesia,Asia,A,153
6056,Equatorial Guinea,Africa,B,162
10280,Niger,Africa,B,171
334,Tonga,Oceania,B,173
16014,Australia,Oceania,B,179
4073,United Kingdom,Europe,A,164
13447,Burundi,Africa,A,156
5363,Iran,Asia,A,160
17416,South Korea,Asia,B,175
18052,Madagascar,Africa,B,169
10089,Bosnia and Herzegovina,Europe,A,165
10007,Tonga,Oceania,A,166
5382,Kiribati,Oceania,B,172
2098,Nigeria,Africa,B,170
3222,Pakistan,Asia,B,167
15633,Andorra,Europe,A,169
97,Dominican Republic,North America,A,160
5916,Trinidad and Tobago,North America,B,176
11499,Tunisia,Africa,A,163
6159,Malta,Europe,A,158
3855,Guatemala,North America,A,149
1827,Tunisia,Africa,A,161
9242,Swaziland,Africa,B,168
11672,Guyana,South America,B,171
7639,Malawi,Africa,A,155
17018,Saint Vincent and the Grenadines,North America,B,179
6715,Australia,Oceania,A,164
15603,United Arab Emirates,Asia,A,162
18492,Puerto Rico,North America,B,185
13223,Maldives,Asia,A,155
9880,Marshall Islands,Oceania,B,166
9987,Swaziland,Africa,A,160
17461,Ukraine,Europe,A,165
17108,Zambia,Africa,B,169
767,Azerbaijan,Europe,A,161
1186,China,Asia,B,175
8187,Albania,Europe,A,163
8762,Malta,Europe,B,172
286,Serbia,Europe,B,179
13544,Indonesia,Asia,B,166
4144,Burkina Faso,Africa,B,172
18084,Nepal,Asia,B,164
12546,Russia,Asia,B,176
7896,Cuba,North America,B,175
10921,Grenada,North America,A,165
12030,Ghana,Africa,B,169
11186,Bangladesh,Asia,B,164
8229,Bosnia and Herzegovina,Europe,A,168
1206,Denmark,Europe,B,181
3020,Bosnia and Herzegovina,Europe,B,185
5325,France,Europe,A,164
3756,Benin,Africa,B,167
14449,Suriname,South America,A,159
11438,Saint Vincent and the Grenadines,North America,B,177
11232,Colombia,South America,B,170
2929,Tajikistan,Asia,A,156
1526,Bermuda,North America,B,190
6277,Tajikistan,Asia,A,157
13443,Bulgaria,Europe,A,169
4053,Togo,Africa,A,159
4823,Uzbekistan,Asia,A,158
10322,Saint Vincent and the Grenadines,North America,B,178
5912,Togo,Africa,B,168
7328,Poland,Europe,B,179
1086,Turkmenistan,Asia,B,174
961,Moldova,Europe,A,164
15589,Trinidad and Tobago,North America,A,163
8113,Somalia,Africa,A,160
18464,Niger,Africa,B,171
10902,Finland,Europe,B,180
17860,Algeria,Africa,B,175
6717,Austria,Europe,A,166
10664,Palau,Oceania,B,173
679,Spain,Europe,A,162
6012,Cameroon,Africa,B,173
11322,Italy,Europe,B,174
7882,China,Asia,B,175
6155,Maldives,Asia,A,155
10182,Guinea-Bissau,Africa,B,167
14769,Poland,Europe,A,165
12398,Georgia,Europe,B,174
15491,Nigeria,Africa,A,156
14362,Nauru,Oceania,B,170
6706,Angola,Africa,B,174
12982,Tonga,Oceania,B,173
5224,Armenia,Europe,B,174
14023,Philippines,Asia,A,153
8935,American Samoa,Oceania,A,170
18442,Mexico,North America,B,170
13410,Australia,Oceania,B,179
14933,Burkina Faso,Africa,A,161
6091,Guinea-Bissau,Africa,A,157
5417,Marshall Islands,Oceania,A,152
9241,Suriname,South America,A,164
11617,Cuba,North America,A,160
2442,Mauritania,Africa,B,163
7922,Ethiopia,Africa,B,168
13412,Austria,Europe,B,179
3382,Belize,North America,B,169
9708,Benin,Africa,B,170
11347,Lesotho,Africa,A,156
7651,Mauritania,Africa,A,162
12547,Russia,Asia,A,163
2306,Comoros,Africa,B,165
15607,United States,North America,A,163
18039,Latvia,Europe,A,167
14721,Mauritius,Africa,A,158
16495,Ghana,Africa,A,159
18106,Panama,North America,B,172
10234,Libya,Africa,B,177
14521,Antigua and Barbuda,North America,A,161
3817,Dominican Republic,North America,A,160
12717,Chile,South America,A,159
13649,Peru,South America,A,154
17365,Papua New Guinea,Oceania,A,158
487,Finland,Europe,A,167
10205,Israel,Asia,A,162
11939,Belize,North America,A,156
3104,Greece,Europe,B,180
4746,Saudi Arabia,Asia,B,169
559,Lesotho,Africa,A,157
7204,Guinea,Africa,B,167
16952,Mauritius,Africa,B,172
18395,Japan,Asia,A,158
8718,Italy,Europe,B,173
2247,Argentina,South America,A,160
13549,Iraq,Asia,A,159
5769,Liberia,Africa,A,154
2767,Italy,Europe,A,160
9434,Guatemala,North America,B,162
6652,Thailand,Asia,B,171
8571,Argentina,South America,A,160
7767,Tanzania,Africa,A,157
6414,Denmark,Europe,B,181
6504,Laos,Asia,B,163
9213,Senegal,Africa,A,165
16273,Saint Lucia,North America,A,165
13247,Nauru,Oceania,A,158
17935,Costa Rica,North America,A,160
18088,New Zealand,Oceania,B,177
12102,Malawi,Africa,B,165
10470,Burundi,Africa,B,159
2016,Iraq,Asia,B,174
11882,United Arab Emirates,Asia,B,172
6989,Singapore,Asia,A,161
11989,Cuba,North America,A,160
15531,Saint Vincent and the Grenadines,North America,A,164
10731,Swaziland,Africa,A,157
4266,Kiribati,Oceania,B,170
11242,Croatia,Europe,B,179
4322,Netherlands,Europe,B,183
5066,Netherlands,Europe,B,185
7457,Armenia,Europe,A,158
15022,Haiti,North America,B,169
15708,Cuba,North America,B,174
5006,Kazakhstan,Asia,B,174
9026,Ecuador,South America,B,167
7186,French Polynesia,Oceania,B,179
16038,Bolivia,South America,B,167
13484,Djibouti,Africa,B,176
1375,Philippines,Asia,A,155
10507,Denmark,Europe,A,168
1035,Sierra Leone,Africa,A,157
6358,Belize,North America,B,173
14512,Algeria,Africa,B,173
14047,Saudi Arabia,Asia,A,157
17415,South Africa,Africa,A,157
15382,Greenland,North America,B,171
1281,Jamaica,North America,A,164
15487,Nicaragua,North America,A,156
12529,Papua New Guinea,Oceania,A,156
6571,Pakistan,Asia,A,153
10458,Bolivia,South America,B,168
12223,Switzerland,Europe,A,162
2179,Switzerland,Europe,A,163
10344,Somalia,Africa,B,166
16993,Papua New Guinea,Oceania,A,155
12409,Grenada,North America,A,166
8077,Puerto Rico,North America,A,165
13490,Ecuador,South America,B,168
14565,Cabo Verde,Africa,A,165
1211,Dominica,North America,A,168
8202,Australia,Oceania,B,179
15636,Antigua and Barbuda,North America,B,173
14194,Cambodia,Asia,B,165
18386,Ireland,Europe,B,179
12225,Syria,Asia,A,158
15006,Ghana,Africa,B,171
7693,Papua New Guinea,Oceania,A,155
11481,Syria,Asia,A,158
12945,Slovenia,Europe,A,167
16778,Bermuda,North America,B,176
14347,Mauritania,Africa,A,159
6180,Nepal,Asia,B,164
6300,Ukraine,Europe,B,182
756,Antigua and Barbuda,North America,B,185
174,Kiribati,Oceania,B,169
10212,Jordan,Asia,B,176
1991,Greenland,North America,A,160
1076,Togo,Africa,B,172
7242,Kiribati,Oceania,B,172
11491,Timor-Leste,Asia,A,153
10993,Mali,Africa,A,161
4745,Samoa,Oceania,A,163
13187,Japan,Asia,A,158
1681,Lithuania,Europe,A,165
4330,Nigeria,Africa,B,171
10082,Bermuda,North America,B,169
5690,Ethiopia,Africa,B,167
13588,Madagascar,Africa,B,161
6286,Tonga,Oceania,B,175
12811,Italy,Europe,A,161
18403,Kiribati,Oceania,A,159
1264,Iceland,Europe,B,183
10578,Italy,Europe,B,173
9089,Israel,Asia,A,161
15093,Mauritius,Africa,A,159
4861,Bahrain,Asia,A,159
14711,Maldives,Asia,A,155
8190,American Samoa,Oceania,B,175
12723,Comoros,Africa,A,156
14576,Chile,South America,B,172
5613,Belgium,Europe,A,164
6888,Lithuania,Europe,B,183
11480,Syria,Asia,B,161
3546,Malawi,Africa,B,165
3509,Israel,Asia,A,162
14429,Singapore,Asia,A,161
5047,Mauritania,Africa,A,161
7135,Chad,Africa,A,161
11397,Niger,Africa,A,161
15758,Guatemala,North America,B,162
15687,Canada,North America,A,164
17296,Lebanon,Asia,B,177
2295,Canada,North America,A,163
5750,Kazakhstan,Asia,B,174
7709,Romania,Europe,A,164
17459,Uganda,Africa,A,157
5430,Mozambique,Africa,B,162
10853,Central African Republic,Africa,A,157
13442,Bulgaria,Europe,B,175
10692,Saint Lucia,North America,B,179
2962,Uzbekistan,Asia,B,170
3860,Guyana,South America,B,173
3973,Papua New Guinea,Oceania,A,158
2160,Somalia,Africa,B,169
16529,Israel,Asia,A,163
13186,Japan,Asia,B,171
15424,Kenya,Africa,B,170
12565,Seychelles,Africa,A,162
12803,Iran,Asia,A,160
1070,Tanzania,Africa,B,165
631,Philippines,Asia,A,154
12991,Turkmenistan,Asia,A,164
11101,Suriname,South America,A,163
7342,Saint Kitts and Nevis,North America,B,172
3900,Laos,Asia,B,164
17000,Poland,Europe,B,181
14620,Fiji,Oceania,B,174
692,Syria,Asia,B,174
3462,Finland,Europe,B,180
16729,Vanuatu,Oceania,A,162
14096,Togo,Africa,B,167
14718,Mauritania,Africa,B,169
339,Tunisia,Africa,A,162
3053,Cook Islands,Oceania,A,167
768,Bahrain,Asia,B,174
2126,Qatar,Asia,B,173
11085,Slovenia,Europe,A,166
4363,Russia,Asia,A,163
17540,Cabo Verde,Africa,B,178
14641,Grenada,North America,A,166
6643,Switzerland,Europe,A,164
5222,Argentina,South America,B,174
1011,Qatar,Asia,A,160
5717,Guinea,Africa,A,159
9489,Liberia,Africa,A,158
18437,Marshall Islands,Oceania,A,154
17945,Czech Republic,Europe,A,169
3223,Pakistan,Asia,A,153
134,Guatemala,North America,B,165
11921,Armenia,Europe,A,159
14398,Portugal,Europe,B,174
7712,Rwanda,Africa,B,167
13330,Sudan,Africa,B,173
18399,Kazakhstan,Asia,A,161
6047,Dominica,North America,A,167
9643,Turkmenistan,Asia,A,163
11614,Croatia,Europe,B,181
18400,Kenya,Africa,B,172
12337,Cameroon,Africa,A,161
12883,Nicaragua,North America,A,155
11435,Saint Kitts and Nevis,North America,A,162
2265,Belgium,Europe,A,163
5160,Tajikistan,Asia,B,167
6569,Oman,Asia,A,159
14812,South Korea,Asia,B,175
17413,Somalia,Africa,A,158
12571,Slovakia,Europe,A,166
3108,Grenada,North America,B,178
8068,Peru,South America,B,166
18012,Iraq,Asia,B,171
14404,Romania,Europe,B,177
5415,Malta,Europe,A,168
15892,Romania,Europe,B,178
7317,Palau,Oceania,A,159
14416,Samoa,Oceania,B,172
8166,United States,North America,B,176
6603,Saint Vincent and the Grenadines,North America,A,164
9609,Sri Lanka,Asia,A,156
10843,Burundi,Africa,A,154
3544,Madagascar,Africa,B,165
15933,Sri Lanka,Asia,A,156
3746,Bangladesh,Asia,B,165
3596,Palau,Oceania,B,168
16000,Algeria,Africa,B,176
2403,Kazakhstan,Asia,A,162
3619,Russia,Asia,A,164
2546,Swaziland,Africa,B,167
9455,Iran,Asia,A,160
2428,Madagascar,Africa,B,161
1679,Libya,Africa,A,160
3662,Swaziland,Africa,B,170
7,American Samoa,Oceania,A,164
11948,Bosnia and Herzegovina,Europe,B,179
508,Guinea,Africa,B,173
7083,Argentina,South America,A,161
14312,Kuwait,Asia,B,175
17713,Nepal,Asia,A,152
317,Sweden,Europe,A,168
17432,Syria,Asia,B,165
6972,Saint Lucia,North America,B,177
2183,Taiwan,Asia,A,160
11910,American Samoa,Oceania,B,177
12471,Luxembourg,Europe,A,164
10763,Uganda,Africa,A,157
4740,Saint Lucia,North America,B,177
2284,Burkina Faso,Africa,B,174
8719,Italy,Europe,A,162
15091,Mauritania,Africa,A,159
796,Burkina Faso,Africa,B,175
13020,Afghanistan,Asia,B,166
16866,Ghana,Africa,B,168
868,Germany,Europe,B,181
17781,Slovenia,Europe,A,167
2693,Czech Republic,Europe,A,168
